tijdstip;locatie;component;waarde;LKI
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;16,6;3
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;26,4;3
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,47;2
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;O3;24,0;2
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;NO;57,3;4
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;CO;421,3;2
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;67,8;6
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;19,7;3
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;22,0;3
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,87;2
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;O3;29,4;2
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;NO;46,7;3
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;CO;468,3;2
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;57,7;5
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;16,4;3
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;24,3;3
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,96;2
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;O3;34,6;3
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;NO;35,0;3
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;CO;425,0;2
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;58,3;5
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;15,3;3
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;28,6;3
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,98;2
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;O3;30,1;3
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;NO;41,5;3
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;CO;461,1;2
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,43;2
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;58,8;5
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;19,4;3
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;29,5;3
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;O3;29,7;2
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;NO;42,9;3
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;CO;510,3;3
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;59,1;5
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;21,9;4
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;31,3;4
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,35;2
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;O3;28,9;2
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;NO;36,7;3
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;CO;567,3;3
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;63,2;6
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;22,2;4
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;33,9;4
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,49;2
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;O3;27,2;2
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;NO;35,2;3
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;CO;629,5;3
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;70,1;6
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;15,2;3
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;27,2;3
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,23;2
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;O3;24,0;2
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;NO;43,9;3
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;CO;691,8;3
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;63,9;6
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;15,5;3
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;23,8;3
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,97;2
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;O3;25,7;2
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;NO;33,8;3
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;CO;570,0;3
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;74,8;6
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;13,4;2
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;27,0;3
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,85;2
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;O3;12,7;1
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;NO;30,9;3
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;CO;575,3;3
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;78,3;7
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;20,2;4
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;27,2;3
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,52;2
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;O3;3,6;1
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;NO;35,0;3
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;CO;480,2;2
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;83,0;7
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;18,5;3
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;29,2;3
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,84;2
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;O3;0,5;1
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;NO;42,0;3
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;CO;534,1;3
2017-04-03 23:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;78,8;7
2017-04-03 23:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;22,1;4
2017-04-03 23:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;29,4;3
2017-04-03 23:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,88;2
2017-04-03 23:00:00+02:00;Amsterdam-Van Diemenstraat;O3;0,3;1
2017-04-03 23:00:00+02:00;Amsterdam-Van Diemenstraat;NO;39,8;3
2017-04-03 23:00:00+02:00;Amsterdam-Van Diemenstraat;CO;526,7;3
2017-04-04 00:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;25,9;4
2017-04-04 00:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,67;2
2017-04-04 00:00:00+02:00;Amsterdam-Van Diemenstraat;NO;44,4;3
2017-04-04 00:00:00+02:00;Amsterdam-Van Diemenstraat;CO;495,0;2
2017-04-04 00:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;30,3;4
2017-04-04 00:00:00+02:00;Amsterdam-Van Diemenstraat;O3;0,1;1
2017-04-04 00:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;77,5;7
2017-04-04 01:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;26,6;4
2017-04-04 01:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,31;2
2017-04-04 01:00:00+02:00;Amsterdam-Van Diemenstraat;NO;32,3;3
2017-04-04 01:00:00+02:00;Amsterdam-Van Diemenstraat;CO;396,7;2
2017-04-04 01:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;30,8;4
2017-04-04 01:00:00+02:00;Amsterdam-Van Diemenstraat;O3;2,4;1
2017-04-04 01:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;74,1;6
2017-04-04 02:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;63,3;6
2017-04-04 02:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;27,8;4
2017-04-04 02:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;29,6;3
2017-04-04 02:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,03;2
2017-04-04 02:00:00+02:00;Amsterdam-Van Diemenstraat;O3;4,3;1
2017-04-04 02:00:00+02:00;Amsterdam-Van Diemenstraat;NO;19,5;2
2017-04-04 02:00:00+02:00;Amsterdam-Van Diemenstraat;CO;357,1;2
2017-04-04 03:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;57,8;5
2017-04-04 03:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;29,5;4
2017-04-04 03:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;32,3;4
2017-04-04 03:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,71;2
2017-04-04 03:00:00+02:00;Amsterdam-Van Diemenstraat;O3;3,0;1
2017-04-04 03:00:00+02:00;Amsterdam-Van Diemenstraat;NO;15,1;2
2017-04-04 03:00:00+02:00;Amsterdam-Van Diemenstraat;CO;359,8;2
2017-04-04 04:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;46,2;5
2017-04-04 04:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;29,9;4
2017-04-04 04:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;33,0;4
2017-04-04 04:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,26;2
2017-04-04 04:00:00+02:00;Amsterdam-Van Diemenstraat;O3;14,1;1
2017-04-04 04:00:00+02:00;Amsterdam-Van Diemenstraat;NO;11,3;2
2017-04-04 04:00:00+02:00;Amsterdam-Van Diemenstraat;CO;391,2;2
2017-04-04 05:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;42,1;4
2017-04-04 05:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;35,1;5
2017-04-04 05:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;40,9;4
2017-04-04 05:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,31;2
2017-04-04 05:00:00+02:00;Amsterdam-Van Diemenstraat;O3;15,8;2
2017-04-04 05:00:00+02:00;Amsterdam-Van Diemenstraat;NO;5,8;1
2017-04-04 05:00:00+02:00;Amsterdam-Van Diemenstraat;CO;349,6;2
2017-04-04 06:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;52,0;5
2017-04-04 06:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;24,4;4
2017-04-04 06:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;32,8;4
2017-04-04 06:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,67;2
2017-04-04 06:00:00+02:00;Amsterdam-Van Diemenstraat;O3;11,1;1
2017-04-04 06:00:00+02:00;Amsterdam-Van Diemenstraat;NO;12,7;2
2017-04-04 06:00:00+02:00;Amsterdam-Van Diemenstraat;CO;382,7;2
2017-04-04 07:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;63,6;6
2017-04-04 07:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;26,0;4
2017-04-04 07:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;35,1;4
2017-04-04 07:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,11;2
2017-04-04 07:00:00+02:00;Amsterdam-Van Diemenstraat;O3;3,6;1
2017-04-04 07:00:00+02:00;Amsterdam-Van Diemenstraat;NO;38,6;3
2017-04-04 07:00:00+02:00;Amsterdam-Van Diemenstraat;CO;579,8;3
2017-04-04 08:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;78,2;7
2017-04-04 08:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;29,9;4
2017-04-04 08:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;34,9;4
2017-04-04 08:00:00+02:00;Amsterdam-Van Diemenstraat;FN;3,29;3
2017-04-04 08:00:00+02:00;Amsterdam-Van Diemenstraat;O3;1,5;1
2017-04-04 08:00:00+02:00;Amsterdam-Van Diemenstraat;NO;85,4;4
2017-04-04 08:00:00+02:00;Amsterdam-Van Diemenstraat;CO;695,5;3
2017-04-04 09:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;93,2;7
2017-04-04 09:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;37,1;5
2017-04-04 09:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;48,9;5
2017-04-04 09:00:00+02:00;Amsterdam-Van Diemenstraat;FN;5,09;4
2017-04-04 09:00:00+02:00;Amsterdam-Van Diemenstraat;O3;1,4;1
2017-04-04 09:00:00+02:00;Amsterdam-Van Diemenstraat;NO;152,9;6
2017-04-04 09:00:00+02:00;Amsterdam-Van Diemenstraat;CO;992,8;3
2017-04-04 10:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;87,7;7
2017-04-04 10:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;44,7;6
2017-04-04 10:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;55,3;5
2017-04-04 10:00:00+02:00;Amsterdam-Van Diemenstraat;FN;5,21;4
2017-04-04 10:00:00+02:00;Amsterdam-Van Diemenstraat;O3;3,3;1
2017-04-04 10:00:00+02:00;Amsterdam-Van Diemenstraat;NO;118,7;5
2017-04-04 10:00:00+02:00;Amsterdam-Van Diemenstraat;CO;874,2;3
2017-04-04 11:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;80,4;7
2017-04-04 11:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;35,5;5
2017-04-04 11:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;47,6;5
2017-04-04 11:00:00+02:00;Amsterdam-Van Diemenstraat;FN;3,15;3
2017-04-04 11:00:00+02:00;Amsterdam-Van Diemenstraat;O3;11,2;1
2017-04-04 11:00:00+02:00;Amsterdam-Van Diemenstraat;NO;60,1;4
2017-04-04 11:00:00+02:00;Amsterdam-Van Diemenstraat;CO;537,8;3
2017-04-04 12:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;91,8;7
2017-04-04 12:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;36,9;5
2017-04-04 12:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;48,2;5
2017-04-04 12:00:00+02:00;Amsterdam-Van Diemenstraat;FN;4,04;4
2017-04-04 12:00:00+02:00;Amsterdam-Van Diemenstraat;O3;11,1;1
2017-04-04 12:00:00+02:00;Amsterdam-Van Diemenstraat;NO;62,8;4
2017-04-04 12:00:00+02:00;Amsterdam-Van Diemenstraat;CO;470,2;2
2017-04-04 13:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;81,0;7
2017-04-04 13:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;24,6;4
2017-04-04 13:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;37,7;4
2017-04-04 13:00:00+02:00;Amsterdam-Van Diemenstraat;FN;3,12;3
2017-04-04 13:00:00+02:00;Amsterdam-Van Diemenstraat;O3;24,6;2
2017-04-04 13:00:00+02:00;Amsterdam-Van Diemenstraat;NO;35,1;3
2017-04-04 13:00:00+02:00;Amsterdam-Van Diemenstraat;CO;395,0;2
2017-04-04 14:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;67,8;6
2017-04-04 14:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;14,8;2
2017-04-04 14:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;29,2;3
2017-04-04 14:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,08;2
2017-04-04 14:00:00+02:00;Amsterdam-Van Diemenstraat;O3;38,5;3
2017-04-04 14:00:00+02:00;Amsterdam-Van Diemenstraat;NO;18,6;2
2017-04-04 14:00:00+02:00;Amsterdam-Van Diemenstraat;CO;316,1;2
2017-04-04 15:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;58,5;5
2017-04-04 15:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;19,1;3
2017-04-04 15:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;33,9;4
2017-04-04 15:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,77;2
2017-04-04 15:00:00+02:00;Amsterdam-Van Diemenstraat;O3;38,8;3
2017-04-04 15:00:00+02:00;Amsterdam-Van Diemenstraat;NO;15,0;2
2017-04-04 15:00:00+02:00;Amsterdam-Van Diemenstraat;CO;295,5;2
2017-04-04 16:00:00+02:00;Amsterdam-Van Diemenstraat;O3;38,7;3
2017-04-04 16:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;21,2;4
2017-04-04 16:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,31;2
2017-04-04 16:00:00+02:00;Amsterdam-Van Diemenstraat;NO;13,8;2
2017-04-04 16:00:00+02:00;Amsterdam-Van Diemenstraat;CO;378,5;2
2017-04-04 16:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;40,3;4
2017-04-04 16:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;54,0;5
2017-04-04 17:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;39,8;4
2017-04-04 17:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;17,5;3
2017-04-04 17:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;23,7;3
2017-04-04 17:00:00+02:00;Amsterdam-Van Diemenstraat;FN;0,79;1
2017-04-04 17:00:00+02:00;Amsterdam-Van Diemenstraat;O3;54,8;4
2017-04-04 17:00:00+02:00;Amsterdam-Van Diemenstraat;NO;5,6;1
