tijdstip;locatie;component;waarde;LKI
2017-04-04 12:00:00+02:00;Amsterdam-Ookmeer;NO;18,5;2
2017-04-04 13:00:00+02:00;Amsterdam-Ookmeer;NO;6,5;1
2017-04-04 13:00:00+02:00;Amsterdam-Ookmeer;NO2;25,3;3
2017-04-04 14:00:00+02:00;Amsterdam-Ookmeer;NO2;19,3;2
2017-04-04 14:00:00+02:00;Amsterdam-Ookmeer;NO;3,6;1
2017-04-04 15:00:00+02:00;Amsterdam-Ookmeer;NO2;15,0;2
2017-04-04 15:00:00+02:00;Amsterdam-Ookmeer;NO;1,9;1
2017-04-04 16:00:00+02:00;Amsterdam-Ookmeer;NO2;14,6;2
2017-04-04 16:00:00+02:00;Amsterdam-Ookmeer;NO;2,3;1
2017-04-04 17:00:00+02:00;Amsterdam-Ookmeer;NO2;25,3;3
2017-04-04 17:00:00+02:00;Amsterdam-Ookmeer;NO;5,5;1
2017-04-04 18:00:00+02:00;Amsterdam-Ookmeer;NO2;45,3;5
2017-04-04 18:00:00+02:00;Amsterdam-Ookmeer;NO;13,5;2
2017-04-04 19:00:00+02:00;Amsterdam-Ookmeer;NO2;37,2;4
2017-04-04 19:00:00+02:00;Amsterdam-Ookmeer;NO;5,2;1
2017-04-04 20:00:00+02:00;Amsterdam-Ookmeer;NO;1,1;1
2017-04-04 20:00:00+02:00;Amsterdam-Ookmeer;NO2;26,9;3
2017-04-04 21:00:00+02:00;Amsterdam-Ookmeer;NO2;29,3;3
2017-04-04 21:00:00+02:00;Amsterdam-Ookmeer;NO;0,1;1
2017-04-04 22:00:00+02:00;Amsterdam-Ookmeer;NO2;39,5;4
2017-04-04 22:00:00+02:00;Amsterdam-Ookmeer;NO;0,6;1
2017-04-04 23:00:00+02:00;Amsterdam-Ookmeer;NO2;41,5;4
2017-04-04 23:00:00+02:00;Amsterdam-Ookmeer;NO;0,5;1
2017-04-05 00:00:00+02:00;Amsterdam-Ookmeer;NO;1,6;1
2017-04-05 00:00:00+02:00;Amsterdam-Ookmeer;NO2;58,6;5
2017-04-05 01:00:00+02:00;Amsterdam-Ookmeer;NO;5,1;1
2017-04-05 01:00:00+02:00;Amsterdam-Ookmeer;NO2;57,2;5
2017-04-05 02:00:00+02:00;Amsterdam-Ookmeer;NO2;50,5;5
2017-04-05 02:00:00+02:00;Amsterdam-Ookmeer;NO;3,4;1
2017-04-05 03:00:00+02:00;Amsterdam-Ookmeer;NO2;47,1;5
2017-04-05 03:00:00+02:00;Amsterdam-Ookmeer;NO;2,8;1
2017-04-05 04:00:00+02:00;Amsterdam-Ookmeer;NO2;24,4;3
2017-04-05 05:00:00+02:00;Amsterdam-Ookmeer;NO2;11,2;2
2017-04-05 06:00:00+02:00;Amsterdam-Ookmeer;NO2;18,8;2
2017-04-05 07:00:00+02:00;Amsterdam-Ookmeer;NO2;14,5;2
2017-04-05 07:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-05 08:00:00+02:00;Amsterdam-Ookmeer;NO2;20,1;3
2017-04-05 08:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-05 09:00:00+02:00;Amsterdam-Ookmeer;NO2;37,3;4
2017-04-05 09:00:00+02:00;Amsterdam-Ookmeer;NO;4,1;1
2017-04-05 10:00:00+02:00;Amsterdam-Ookmeer;NO2;12,1;2
2017-04-05 10:00:00+02:00;Amsterdam-Ookmeer;NO;1,6;1
2017-04-05 11:00:00+02:00;Amsterdam-Ookmeer;NO2;8,6;1
2017-04-05 11:00:00+02:00;Amsterdam-Ookmeer;NO;1,6;1
2017-04-05 12:00:00+02:00;Amsterdam-Ookmeer;NO2;8,0;1
2017-04-05 12:00:00+02:00;Amsterdam-Ookmeer;NO;1,1;1
2017-04-05 13:00:00+02:00;Amsterdam-Ookmeer;NO2;5,5;1
2017-04-05 13:00:00+02:00;Amsterdam-Ookmeer;NO;0,8;1
2017-04-05 14:00:00+02:00;Amsterdam-Ookmeer;NO2;8,9;1
2017-04-05 14:00:00+02:00;Amsterdam-Ookmeer;NO;1,9;1
2017-04-05 15:00:00+02:00;Amsterdam-Ookmeer;NO2;6,8;1
2017-04-05 15:00:00+02:00;Amsterdam-Ookmeer;NO;0,8;1
2017-04-05 16:00:00+02:00;Amsterdam-Ookmeer;NO2;6,3;1
2017-04-05 16:00:00+02:00;Amsterdam-Ookmeer;NO;0,6;1
2017-04-05 17:00:00+02:00;Amsterdam-Ookmeer;NO2;5,4;1
2017-04-05 17:00:00+02:00;Amsterdam-Ookmeer;NO;0,4;1
2017-04-05 18:00:00+02:00;Amsterdam-Ookmeer;NO2;4,3;1
2017-04-05 18:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-05 19:00:00+02:00;Amsterdam-Ookmeer;NO;0,4;1
2017-04-05 19:00:00+02:00;Amsterdam-Ookmeer;NO2;6,0;1
2017-04-05 20:00:00+02:00;Amsterdam-Ookmeer;NO2;6,8;1
2017-04-05 21:00:00+02:00;Amsterdam-Ookmeer;NO2;9,0;1
2017-04-05 22:00:00+02:00;Amsterdam-Ookmeer;NO2;14,9;2
2017-04-05 22:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-05 23:00:00+02:00;Amsterdam-Ookmeer;NO2;17,1;2
2017-04-06 00:00:00+02:00;Amsterdam-Ookmeer;NO2;7,2;1
2017-04-06 01:00:00+02:00;Amsterdam-Ookmeer;NO2;5,1;1
2017-04-06 02:00:00+02:00;Amsterdam-Ookmeer;NO2;9,5;1
2017-04-06 03:00:00+02:00;Amsterdam-Ookmeer;NO2;5,0;1
2017-04-06 04:00:00+02:00;Amsterdam-Ookmeer;NO2;6,6;1
2017-04-06 05:00:00+02:00;Amsterdam-Ookmeer;NO2;7,8;1
2017-04-06 06:00:00+02:00;Amsterdam-Ookmeer;NO2;19,0;2
2017-04-06 06:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-06 07:00:00+02:00;Amsterdam-Ookmeer;NO2;21,9;3
2017-04-06 07:00:00+02:00;Amsterdam-Ookmeer;NO;0,1;1
2017-04-06 08:00:00+02:00;Amsterdam-Ookmeer;NO2;27,8;3
2017-04-06 08:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-06 09:00:00+02:00;Amsterdam-Ookmeer;NO2;24,0;3
2017-04-06 09:00:00+02:00;Amsterdam-Ookmeer;NO;1,3;1
2017-04-06 10:00:00+02:00;Amsterdam-Ookmeer;NO;0,4;1
2017-04-06 10:00:00+02:00;Amsterdam-Ookmeer;NO2;10,2;2
2017-04-06 11:00:00+02:00;Amsterdam-Ookmeer;NO2;8,0;1
2017-04-06 11:00:00+02:00;Amsterdam-Ookmeer;NO;0,7;1
2017-04-06 12:00:00+02:00;Amsterdam-Ookmeer;NO2;7,1;1
2017-04-06 12:00:00+02:00;Amsterdam-Ookmeer;NO;0,4;1
2017-04-06 13:00:00+02:00;Amsterdam-Ookmeer;NO2;5,6;1
2017-04-06 13:00:00+02:00;Amsterdam-Ookmeer;NO;0,4;1
2017-04-06 14:00:00+02:00;Amsterdam-Ookmeer;NO2;3,3;1
2017-04-06 14:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-06 15:00:00+02:00;Amsterdam-Ookmeer;NO2;3,4;1
2017-04-06 15:00:00+02:00;Amsterdam-Ookmeer;NO;0,5;1
2017-04-06 16:00:00+02:00;Amsterdam-Ookmeer;NO2;4,2;1
2017-04-06 16:00:00+02:00;Amsterdam-Ookmeer;NO;0,6;1
2017-04-06 17:00:00+02:00;Amsterdam-Ookmeer;NO2;6,9;1
2017-04-06 17:00:00+02:00;Amsterdam-Ookmeer;NO;0,7;1
2017-04-06 18:00:00+02:00;Amsterdam-Ookmeer;NO2;10,0;2
2017-04-06 18:00:00+02:00;Amsterdam-Ookmeer;NO;1,2;1
2017-04-06 19:00:00+02:00;Amsterdam-Ookmeer;NO2;6,7;1
2017-04-06 19:00:00+02:00;Amsterdam-Ookmeer;NO;0,3;1
2017-04-06 20:00:00+02:00;Amsterdam-Ookmeer;NO2;10,2;2
2017-04-06 20:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-06 21:00:00+02:00;Amsterdam-Ookmeer;NO2;12,7;2
2017-04-06 21:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-06 22:00:00+02:00;Amsterdam-Ookmeer;NO2;28,1;3
2017-04-06 22:00:00+02:00;Amsterdam-Ookmeer;NO;0,5;1
2017-04-06 23:00:00+02:00;Amsterdam-Ookmeer;NO2;39,6;4
2017-04-06 23:00:00+02:00;Amsterdam-Ookmeer;NO;0,8;1
2017-04-07 00:00:00+02:00;Amsterdam-Ookmeer;NO2;44,8;4
2017-04-07 00:00:00+02:00;Amsterdam-Ookmeer;NO;0,1;1
2017-04-07 01:00:00+02:00;Amsterdam-Ookmeer;NO2;13,3;2
2017-04-07 02:00:00+02:00;Amsterdam-Ookmeer;NO2;13,0;2
2017-04-07 03:00:00+02:00;Amsterdam-Ookmeer;NO2;11,1;2
2017-04-07 03:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-07 04:00:00+02:00;Amsterdam-Ookmeer;NO2;13,0;2
2017-04-07 04:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-07 05:00:00+02:00;Amsterdam-Ookmeer;NO2;8,3;1
2017-04-07 05:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-07 06:00:00+02:00;Amsterdam-Ookmeer;NO2;12,0;2
2017-04-07 06:00:00+02:00;Amsterdam-Ookmeer;NO;0,3;1
2017-04-07 07:00:00+02:00;Amsterdam-Ookmeer;NO2;18,9;2
2017-04-07 07:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-07 08:00:00+02:00;Amsterdam-Ookmeer;NO2;32,0;4
2017-04-07 08:00:00+02:00;Amsterdam-Ookmeer;NO;1,1;1
2017-04-07 09:00:00+02:00;Amsterdam-Ookmeer;NO2;35,8;4
2017-04-07 09:00:00+02:00;Amsterdam-Ookmeer;NO;2,9;1
2017-04-07 10:00:00+02:00;Amsterdam-Ookmeer;NO2;21,1;3
2017-04-07 10:00:00+02:00;Amsterdam-Ookmeer;NO;3,1;1
2017-04-07 11:00:00+02:00;Amsterdam-Ookmeer;NO2;20,8;3
2017-04-07 11:00:00+02:00;Amsterdam-Ookmeer;NO;6,7;1
2017-04-07 12:00:00+02:00;Amsterdam-Ookmeer;NO2;11,1;2
2017-04-07 12:00:00+02:00;Amsterdam-Ookmeer;NO;2,6;1
2017-04-07 13:00:00+02:00;Amsterdam-Ookmeer;NO2;9,8;1
2017-04-07 13:00:00+02:00;Amsterdam-Ookmeer;NO;2,3;1
2017-04-07 14:00:00+02:00;Amsterdam-Ookmeer;NO2;10,5;2
2017-04-07 14:00:00+02:00;Amsterdam-Ookmeer;NO;2,2;1
2017-04-07 15:00:00+02:00;Amsterdam-Ookmeer;NO2;14,1;2
2017-04-07 15:00:00+02:00;Amsterdam-Ookmeer;NO;3,3;1
2017-04-07 16:00:00+02:00;Amsterdam-Ookmeer;NO2;18,2;2
2017-04-07 16:00:00+02:00;Amsterdam-Ookmeer;NO;4,2;1
2017-04-07 17:00:00+02:00;Amsterdam-Ookmeer;NO2;12,6;2
2017-04-07 17:00:00+02:00;Amsterdam-Ookmeer;NO;2,3;1
2017-04-07 18:00:00+02:00;Amsterdam-Ookmeer;NO2;9,9;1
2017-04-07 18:00:00+02:00;Amsterdam-Ookmeer;NO;1,7;1
2017-04-07 19:00:00+02:00;Amsterdam-Ookmeer;NO2;7,1;1
2017-04-07 19:00:00+02:00;Amsterdam-Ookmeer;NO;0,7;1
2017-04-07 20:00:00+02:00;Amsterdam-Ookmeer;NO2;24,4;3
2017-04-07 20:00:00+02:00;Amsterdam-Ookmeer;NO;0,6;1
2017-04-07 21:00:00+02:00;Amsterdam-Ookmeer;NO2;27,7;3
2017-04-07 21:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-07 22:00:00+02:00;Amsterdam-Ookmeer;NO2;24,9;3
2017-04-08 02:00:00+02:00;Amsterdam-Ookmeer;NO2;7,5;1
2017-04-08 03:00:00+02:00;Amsterdam-Ookmeer;NO2;8,1;1
2017-04-08 03:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-08 04:00:00+02:00;Amsterdam-Ookmeer;NO2;8,9;1
2017-04-08 04:00:00+02:00;Amsterdam-Ookmeer;NO;0,1;1
2017-04-08 05:00:00+02:00;Amsterdam-Ookmeer;NO2;9,1;1
2017-04-08 05:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-08 06:00:00+02:00;Amsterdam-Ookmeer;NO2;10,2;2
2017-04-08 06:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-08 07:00:00+02:00;Amsterdam-Ookmeer;NO2;10,4;2
2017-04-08 07:00:00+02:00;Amsterdam-Ookmeer;NO;0,1;1
2017-04-08 08:00:00+02:00;Amsterdam-Ookmeer;NO2;13,0;2
2017-04-08 08:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-08 09:00:00+02:00;Amsterdam-Ookmeer;NO2;13,6;2
2017-04-08 09:00:00+02:00;Amsterdam-Ookmeer;NO;0,8;1
2017-04-08 10:00:00+02:00;Amsterdam-Ookmeer;NO;1,2;1
2017-04-08 10:00:00+02:00;Amsterdam-Ookmeer;NO2;12,0;2
2017-04-08 11:00:00+02:00;Amsterdam-Ookmeer;NO2;6,9;1
2017-04-08 11:00:00+02:00;Amsterdam-Ookmeer;NO;1,0;1
2017-04-08 12:00:00+02:00;Amsterdam-Ookmeer;NO2;7,2;1
2017-04-08 12:00:00+02:00;Amsterdam-Ookmeer;NO;1,1;1
2017-04-08 13:00:00+02:00;Amsterdam-Ookmeer;NO2;5,7;1
2017-04-08 13:00:00+02:00;Amsterdam-Ookmeer;NO;0,7;1
2017-04-08 14:00:00+02:00;Amsterdam-Ookmeer;NO2;6,6;1
2017-04-08 14:00:00+02:00;Amsterdam-Ookmeer;NO;1,2;1
2017-04-08 15:00:00+02:00;Amsterdam-Ookmeer;NO;1,5;1
2017-04-08 15:00:00+02:00;Amsterdam-Ookmeer;NO2;9,8;1
2017-04-08 16:00:00+02:00;Amsterdam-Ookmeer;NO2;8,6;1
2017-04-08 16:00:00+02:00;Amsterdam-Ookmeer;NO;1,5;1
2017-04-08 17:00:00+02:00;Amsterdam-Ookmeer;NO2;10,1;2
2017-04-08 17:00:00+02:00;Amsterdam-Ookmeer;NO;1,6;1
2017-04-08 18:00:00+02:00;Amsterdam-Ookmeer;NO2;23,6;3
2017-04-08 18:00:00+02:00;Amsterdam-Ookmeer;NO;4,2;1
2017-04-08 19:00:00+02:00;Amsterdam-Ookmeer;NO2;27,4;3
2017-04-08 19:00:00+02:00;Amsterdam-Ookmeer;NO;3,6;1
2017-04-08 20:00:00+02:00;Amsterdam-Ookmeer;NO2;39,8;4
2017-04-08 20:00:00+02:00;Amsterdam-Ookmeer;NO;2,8;1
2017-04-08 21:00:00+02:00;Amsterdam-Ookmeer;NO2;49,0;5
2017-04-08 21:00:00+02:00;Amsterdam-Ookmeer;NO;0,6;1
2017-04-08 22:00:00+02:00;Amsterdam-Ookmeer;NO2;39,1;4
2017-04-08 22:00:00+02:00;Amsterdam-Ookmeer;NO;0,3;1
2017-04-08 23:00:00+02:00;Amsterdam-Ookmeer;NO2;34,8;4
2017-04-08 23:00:00+02:00;Amsterdam-Ookmeer;NO;0,3;1
2017-04-09 00:00:00+02:00;Amsterdam-Ookmeer;NO;0,4;1
2017-04-09 00:00:00+02:00;Amsterdam-Ookmeer;NO2;39,7;4
2017-04-09 01:00:00+02:00;Amsterdam-Ookmeer;NO;2,2;1
2017-04-09 01:00:00+02:00;Amsterdam-Ookmeer;NO2;53,1;5
2017-04-09 02:00:00+02:00;Amsterdam-Ookmeer;NO2;62,3;6
2017-04-09 02:00:00+02:00;Amsterdam-Ookmeer;NO;5,5;1
2017-04-09 03:00:00+02:00;Amsterdam-Ookmeer;NO;0,3;1
2017-04-09 03:00:00+02:00;Amsterdam-Ookmeer;NO2;31,3;4
2017-04-09 04:00:00+02:00;Amsterdam-Ookmeer;NO2;25,2;3
2017-04-09 04:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-09 05:00:00+02:00;Amsterdam-Ookmeer;NO2;26,1;3
2017-04-09 05:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-09 06:00:00+02:00;Amsterdam-Ookmeer;NO2;25,7;3
2017-04-09 06:00:00+02:00;Amsterdam-Ookmeer;NO;0,6;1
2017-04-09 07:00:00+02:00;Amsterdam-Ookmeer;NO2;25,4;3
2017-04-09 07:00:00+02:00;Amsterdam-Ookmeer;NO;0,9;1
2017-04-09 08:00:00+02:00;Amsterdam-Ookmeer;NO2;25,0;3
2017-04-09 08:00:00+02:00;Amsterdam-Ookmeer;NO;1,4;1
2017-04-09 09:00:00+02:00;Amsterdam-Ookmeer;NO2;24,0;3
2017-04-09 09:00:00+02:00;Amsterdam-Ookmeer;NO;3,5;1
2017-04-09 10:00:00+02:00;Amsterdam-Ookmeer;NO2;24,0;3
2017-04-09 10:00:00+02:00;Amsterdam-Ookmeer;NO;6,3;1
2017-04-09 11:00:00+02:00;Amsterdam-Ookmeer;NO2;21,2;3
2017-04-09 11:00:00+02:00;Amsterdam-Ookmeer;NO;6,3;1
2017-04-09 12:00:00+02:00;Amsterdam-Ookmeer;NO2;12,2;2
2017-04-09 12:00:00+02:00;Amsterdam-Ookmeer;NO;2,5;1
2017-04-09 13:00:00+02:00;Amsterdam-Ookmeer;NO2;11,4;2
2017-04-09 13:00:00+02:00;Amsterdam-Ookmeer;NO;3,2;1
2017-04-09 14:00:00+02:00;Amsterdam-Ookmeer;NO2;9,9;1
2017-04-09 14:00:00+02:00;Amsterdam-Ookmeer;NO;1,1;1
2017-04-09 15:00:00+02:00;Amsterdam-Ookmeer;NO2;10,4;2
2017-04-09 15:00:00+02:00;Amsterdam-Ookmeer;NO;1,5;1
2017-04-09 16:00:00+02:00;Amsterdam-Ookmeer;NO2;17,0;2
2017-04-09 16:00:00+02:00;Amsterdam-Ookmeer;NO;2,8;1
2017-04-09 17:00:00+02:00;Amsterdam-Ookmeer;NO2;14,3;2
2017-04-09 17:00:00+02:00;Amsterdam-Ookmeer;NO;1,8;1
2017-04-09 18:00:00+02:00;Amsterdam-Ookmeer;NO2;20,3;3
2017-04-09 18:00:00+02:00;Amsterdam-Ookmeer;NO;2,2;1
2017-04-09 19:00:00+02:00;Amsterdam-Ookmeer;NO2;23,0;3
2017-04-09 19:00:00+02:00;Amsterdam-Ookmeer;NO;1,9;1
2017-04-09 20:00:00+02:00;Amsterdam-Ookmeer;NO2;25,6;3
2017-04-09 20:00:00+02:00;Amsterdam-Ookmeer;NO;1,0;1
2017-04-09 21:00:00+02:00;Amsterdam-Ookmeer;NO2;58,0;5
2017-04-09 21:00:00+02:00;Amsterdam-Ookmeer;NO;1,2;1
2017-04-09 22:00:00+02:00;Amsterdam-Ookmeer;NO2;73,7;6
2017-04-09 22:00:00+02:00;Amsterdam-Ookmeer;NO;1,4;1
2017-04-09 23:00:00+02:00;Amsterdam-Ookmeer;NO2;90,1;7
2017-04-09 23:00:00+02:00;Amsterdam-Ookmeer;NO;1,1;1
2017-04-10 00:00:00+02:00;Amsterdam-Ookmeer;NO2;55,5;5
2017-04-10 00:00:00+02:00;Amsterdam-Ookmeer;NO;0,4;1
2017-04-10 01:00:00+02:00;Amsterdam-Ookmeer;NO;0,5;1
2017-04-10 01:00:00+02:00;Amsterdam-Ookmeer;NO2;50,1;5
2017-04-10 02:00:00+02:00;Amsterdam-Ookmeer;NO2;42,0;4
2017-04-10 02:00:00+02:00;Amsterdam-Ookmeer;NO;0,3;1
2017-04-10 03:00:00+02:00;Amsterdam-Ookmeer;NO2;13,6;2
2017-04-10 03:00:00+02:00;Amsterdam-Ookmeer;NO;0,1;1
2017-04-10 04:00:00+02:00;Amsterdam-Ookmeer;NO2;14,8;2
2017-04-10 05:00:00+02:00;Amsterdam-Ookmeer;NO2;7,7;1
2017-04-10 05:00:00+02:00;Amsterdam-Ookmeer;NO;0,5;1
2017-04-10 06:00:00+02:00;Amsterdam-Ookmeer;NO2;15,0;2
2017-04-10 06:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-10 07:00:00+02:00;Amsterdam-Ookmeer;NO2;13,0;2
2017-04-10 07:00:00+02:00;Amsterdam-Ookmeer;NO;0,1;1
2017-04-10 08:00:00+02:00;Amsterdam-Ookmeer;NO2;7,7;1
