tijdstip;locatie;component;waarde;LKI
2017-04-03 23:00:00+02:00;Amsterdam-Einsteinweg;PM10;44,6;4
2017-04-03 23:00:00+02:00;Amsterdam-Einsteinweg;NO;69,4;4
2017-04-03 23:00:00+02:00;Amsterdam-Einsteinweg;CO;725,1;3
2017-04-04 00:00:00+02:00;Amsterdam-Einsteinweg;PM25;26,9;4
2017-04-04 00:00:00+02:00;Amsterdam-Einsteinweg;FN;3,39;3
2017-04-04 00:00:00+02:00;Amsterdam-Einsteinweg;NO;59,7;4
2017-04-04 00:00:00+02:00;Amsterdam-Einsteinweg;CO;641,4;3
2017-04-04 00:00:00+02:00;Amsterdam-Einsteinweg;PM10;37,4;4
2017-04-04 00:00:00+02:00;Amsterdam-Einsteinweg;NO2;76,0;7
2017-04-04 01:00:00+02:00;Amsterdam-Einsteinweg;FN;2,33;2
2017-04-04 01:00:00+02:00;Amsterdam-Einsteinweg;PM25;26,7;4
2017-04-04 01:00:00+02:00;Amsterdam-Einsteinweg;NO;32,4;3
2017-04-04 01:00:00+02:00;Amsterdam-Einsteinweg;CO;488,0;2
2017-04-04 01:00:00+02:00;Amsterdam-Einsteinweg;PM10;35,2;4
2017-04-04 01:00:00+02:00;Amsterdam-Einsteinweg;NO2;62,0;6
2017-04-04 02:00:00+02:00;Amsterdam-Einsteinweg;NO2;60,0;6
2017-04-04 02:00:00+02:00;Amsterdam-Einsteinweg;FN;2,64;2
2017-04-04 02:00:00+02:00;Amsterdam-Einsteinweg;PM25;26,7;4
2017-04-04 02:00:00+02:00;Amsterdam-Einsteinweg;PM10;28,2;3
2017-04-04 02:00:00+02:00;Amsterdam-Einsteinweg;NO;34,3;3
2017-04-04 02:00:00+02:00;Amsterdam-Einsteinweg;CO;452,3;2
2017-04-04 03:00:00+02:00;Amsterdam-Einsteinweg;NO2;50,3;5
2017-04-04 03:00:00+02:00;Amsterdam-Einsteinweg;FN;1,85;2
2017-04-04 03:00:00+02:00;Amsterdam-Einsteinweg;PM25;23,8;4
2017-04-04 03:00:00+02:00;Amsterdam-Einsteinweg;PM10;35,2;4
2017-04-04 03:00:00+02:00;Amsterdam-Einsteinweg;NO;12,9;2
2017-04-04 03:00:00+02:00;Amsterdam-Einsteinweg;CO;355,6;2
2017-04-04 04:00:00+02:00;Amsterdam-Einsteinweg;NO2;39,5;4
2017-04-04 04:00:00+02:00;Amsterdam-Einsteinweg;FN;1,42;2
2017-04-04 04:00:00+02:00;Amsterdam-Einsteinweg;PM25;30,6;5
2017-04-04 04:00:00+02:00;Amsterdam-Einsteinweg;PM10;37,9;4
2017-04-04 04:00:00+02:00;Amsterdam-Einsteinweg;NO;7,5;1
2017-04-04 04:00:00+02:00;Amsterdam-Einsteinweg;CO;315,9;2
2017-04-04 05:00:00+02:00;Amsterdam-Einsteinweg;NO2;44,9;4
2017-04-04 05:00:00+02:00;Amsterdam-Einsteinweg;FN;1,68;2
2017-04-04 05:00:00+02:00;Amsterdam-Einsteinweg;PM25;27,1;4
2017-04-04 05:00:00+02:00;Amsterdam-Einsteinweg;PM10;31,5;4
2017-04-04 05:00:00+02:00;Amsterdam-Einsteinweg;NO;19,5;2
2017-04-04 05:00:00+02:00;Amsterdam-Einsteinweg;CO;375,2;2
2017-04-04 06:00:00+02:00;Amsterdam-Einsteinweg;NO2;57,5;5
2017-04-04 06:00:00+02:00;Amsterdam-Einsteinweg;FN;2,39;2
2017-04-04 06:00:00+02:00;Amsterdam-Einsteinweg;PM25;26,1;4
2017-04-04 06:00:00+02:00;Amsterdam-Einsteinweg;PM10;32,4;4
2017-04-04 06:00:00+02:00;Amsterdam-Einsteinweg;NO;44,9;3
2017-04-04 06:00:00+02:00;Amsterdam-Einsteinweg;CO;410,6;2
2017-04-04 07:00:00+02:00;Amsterdam-Einsteinweg;NO2;84,8;7
2017-04-04 07:00:00+02:00;Amsterdam-Einsteinweg;FN;4,87;4
2017-04-04 07:00:00+02:00;Amsterdam-Einsteinweg;PM25;32,3;5
2017-04-04 07:00:00+02:00;Amsterdam-Einsteinweg;PM10;41,3;4
2017-04-04 07:00:00+02:00;Amsterdam-Einsteinweg;NO;152,1;6
2017-04-04 07:00:00+02:00;Amsterdam-Einsteinweg;CO;490,9;2
2017-04-04 08:00:00+02:00;Amsterdam-Einsteinweg;NO2;93,6;7
2017-04-04 08:00:00+02:00;Amsterdam-Einsteinweg;FN;5,84;4
2017-04-04 08:00:00+02:00;Amsterdam-Einsteinweg;PM25;30,0;5
2017-04-04 08:00:00+02:00;Amsterdam-Einsteinweg;PM10;43,0;4
2017-04-04 08:00:00+02:00;Amsterdam-Einsteinweg;NO;178,3;6
2017-04-04 08:00:00+02:00;Amsterdam-Einsteinweg;CO;724,8;3
2017-04-04 09:00:00+02:00;Amsterdam-Einsteinweg;NO2;97,9;7
2017-04-04 09:00:00+02:00;Amsterdam-Einsteinweg;FN;7,53;5
2017-04-04 09:00:00+02:00;Amsterdam-Einsteinweg;PM25;39,6;5
2017-04-04 09:00:00+02:00;Amsterdam-Einsteinweg;PM10;50,2;5
2017-04-04 09:00:00+02:00;Amsterdam-Einsteinweg;NO;230,7;7
2017-04-04 09:00:00+02:00;Amsterdam-Einsteinweg;CO;871,3;3
2017-04-04 10:00:00+02:00;Amsterdam-Einsteinweg;NO2;96,5;7
2017-04-04 10:00:00+02:00;Amsterdam-Einsteinweg;FN;6,68;5
2017-04-04 10:00:00+02:00;Amsterdam-Einsteinweg;PM25;40,3;6
2017-04-04 10:00:00+02:00;Amsterdam-Einsteinweg;PM10;52,9;5
2017-04-04 10:00:00+02:00;Amsterdam-Einsteinweg;NO;184,8;6
2017-04-04 10:00:00+02:00;Amsterdam-Einsteinweg;CO;662,1;3
2017-04-04 11:00:00+02:00;Amsterdam-Einsteinweg;NO2;98,8;7
2017-04-04 11:00:00+02:00;Amsterdam-Einsteinweg;FN;5,44;4
2017-04-04 11:00:00+02:00;Amsterdam-Einsteinweg;PM25;37,6;5
2017-04-04 11:00:00+02:00;Amsterdam-Einsteinweg;PM10;51,7;5
2017-04-04 11:00:00+02:00;Amsterdam-Einsteinweg;NO;140,3;5
2017-04-04 11:00:00+02:00;Amsterdam-Einsteinweg;CO;545,6;3
2017-04-04 12:00:00+02:00;Amsterdam-Einsteinweg;NO2;93,6;7
2017-04-04 12:00:00+02:00;Amsterdam-Einsteinweg;FN;4,53;4
2017-04-04 12:00:00+02:00;Amsterdam-Einsteinweg;PM25;29,1;4
2017-04-04 12:00:00+02:00;Amsterdam-Einsteinweg;PM10;36,1;4
2017-04-04 12:00:00+02:00;Amsterdam-Einsteinweg;NO;100,8;5
2017-04-04 12:00:00+02:00;Amsterdam-Einsteinweg;CO;459,0;2
2017-04-04 13:00:00+02:00;Amsterdam-Einsteinweg;NO2;65,5;6
2017-04-04 13:00:00+02:00;Amsterdam-Einsteinweg;FN;2,4;2
2017-04-04 13:00:00+02:00;Amsterdam-Einsteinweg;NO;47,1;3
2017-04-04 13:00:00+02:00;Amsterdam-Einsteinweg;CO;290,5;2
2017-04-04 14:00:00+02:00;Amsterdam-Einsteinweg;NO2;61,7;6
2017-04-04 14:00:00+02:00;Amsterdam-Einsteinweg;FN;2,53;2
2017-04-04 14:00:00+02:00;Amsterdam-Einsteinweg;PM25;23,8;4
2017-04-04 14:00:00+02:00;Amsterdam-Einsteinweg;PM10;26,3;3
2017-04-04 14:00:00+02:00;Amsterdam-Einsteinweg;NO;45,2;3
2017-04-04 14:00:00+02:00;Amsterdam-Einsteinweg;CO;289,9;2
2017-04-04 15:00:00+02:00;Amsterdam-Einsteinweg;NO2;59,5;5
2017-04-04 15:00:00+02:00;Amsterdam-Einsteinweg;FN;2,21;2
2017-04-04 15:00:00+02:00;Amsterdam-Einsteinweg;PM25;18,7;3
2017-04-04 15:00:00+02:00;Amsterdam-Einsteinweg;PM10;32,5;4
2017-04-04 15:00:00+02:00;Amsterdam-Einsteinweg;NO;31,2;3
2017-04-04 15:00:00+02:00;Amsterdam-Einsteinweg;CO;292,0;2
2017-04-04 16:00:00+02:00;Amsterdam-Einsteinweg;NO2;58,6;5
2017-04-04 16:00:00+02:00;Amsterdam-Einsteinweg;FN;2,22;2
2017-04-04 16:00:00+02:00;Amsterdam-Einsteinweg;PM25;14,6;2
2017-04-04 16:00:00+02:00;Amsterdam-Einsteinweg;PM10;24,9;3
2017-04-04 16:00:00+02:00;Amsterdam-Einsteinweg;NO;39,2;3
2017-04-04 16:00:00+02:00;Amsterdam-Einsteinweg;CO;306,5;2
2017-04-04 17:00:00+02:00;Amsterdam-Einsteinweg;NO2;48,5;5
2017-04-04 17:00:00+02:00;Amsterdam-Einsteinweg;FN;1,48;2
2017-04-04 17:00:00+02:00;Amsterdam-Einsteinweg;PM25;12,9;2
2017-04-04 17:00:00+02:00;Amsterdam-Einsteinweg;PM10;21,3;3
2017-04-04 17:00:00+02:00;Amsterdam-Einsteinweg;NO;23,5;2
2017-04-04 17:00:00+02:00;Amsterdam-Einsteinweg;CO;383,2;2
2017-04-04 18:00:00+02:00;Amsterdam-Einsteinweg;NO2;44,7;4
2017-04-04 18:00:00+02:00;Amsterdam-Einsteinweg;FN;1,38;2
2017-04-04 18:00:00+02:00;Amsterdam-Einsteinweg;PM25;12,3;2
2017-04-04 18:00:00+02:00;Amsterdam-Einsteinweg;PM10;24,6;3
2017-04-04 18:00:00+02:00;Amsterdam-Einsteinweg;NO;20,1;2
2017-04-04 18:00:00+02:00;Amsterdam-Einsteinweg;CO;337,6;2
2017-04-04 19:00:00+02:00;Amsterdam-Einsteinweg;NO2;46,7;5
2017-04-04 19:00:00+02:00;Amsterdam-Einsteinweg;FN;1,44;2
2017-04-04 19:00:00+02:00;Amsterdam-Einsteinweg;PM25;11,2;2
2017-04-04 19:00:00+02:00;Amsterdam-Einsteinweg;PM10;24,0;3
2017-04-04 19:00:00+02:00;Amsterdam-Einsteinweg;NO;16,9;2
2017-04-04 19:00:00+02:00;Amsterdam-Einsteinweg;CO;315,3;2
2017-04-04 20:00:00+02:00;Amsterdam-Einsteinweg;NO2;55,3;5
2017-04-04 20:00:00+02:00;Amsterdam-Einsteinweg;FN;1,87;2
2017-04-04 20:00:00+02:00;Amsterdam-Einsteinweg;PM25;20,3;4
2017-04-04 20:00:00+02:00;Amsterdam-Einsteinweg;PM10;29,1;3
2017-04-04 20:00:00+02:00;Amsterdam-Einsteinweg;NO;18,5;2
2017-04-04 20:00:00+02:00;Amsterdam-Einsteinweg;CO;280,9;2
2017-04-04 21:00:00+02:00;Amsterdam-Einsteinweg;NO2;71,8;6
2017-04-04 21:00:00+02:00;Amsterdam-Einsteinweg;FN;2,86;2
2017-04-04 21:00:00+02:00;Amsterdam-Einsteinweg;PM25;19,3;3
2017-04-04 21:00:00+02:00;Amsterdam-Einsteinweg;PM10;37,6;4
2017-04-04 21:00:00+02:00;Amsterdam-Einsteinweg;NO;19,6;2
2017-04-04 21:00:00+02:00;Amsterdam-Einsteinweg;CO;315,2;2
2017-04-04 22:00:00+02:00;Amsterdam-Einsteinweg;NO2;75,3;7
2017-04-04 22:00:00+02:00;Amsterdam-Einsteinweg;FN;3,11;3
2017-04-04 22:00:00+02:00;Amsterdam-Einsteinweg;PM25;21,6;4
2017-04-04 22:00:00+02:00;Amsterdam-Einsteinweg;PM10;30,9;4
2017-04-04 22:00:00+02:00;Amsterdam-Einsteinweg;NO;17,3;2
2017-04-04 22:00:00+02:00;Amsterdam-Einsteinweg;CO;326,5;2
